idx,drug_name,drug_text
226,Sitagliptin,"Sitagliptin is an oral dipeptidyl peptidase-4 (DPP-4) inhibitor used in conjunction with diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus[FDA label,A2260,A2255,A2256]. The effect of this medication leads to glucose dependent increases in insulin and decreases in glucagon to improve control of blood sugar[FDA label,A2255]. Sitagliptin was granted FDA approval on October 16, 2006[L6061]. Inhibition of DPP-4 by sitagliptin slows DPP-4 mediated inactivation of incretins like GLP-1 and GIP[FDA label,A2256]. Incretins are released throughout the day and upregulated in response to meals as part of glucose homeostasis[FDA label,A2260]. Reduced inhibition of incretins increase insulin synthesis and decrease glucagon release in a manner dependant on glucose concentrations[FDA label,A2255]"
227,Ardeparin,"Ardeparin, marketed under the US trade name Normiflo, is a low molecular weight heparin (LMWH) anticoagulant used for the prevention of postoperative venous thrombosis. Ardeparin is derived via peroxide degradation of heparin extracted from porcine intestinal mucosa. Its molecular weight ranges from 2000 to 15,000 with an average molecular weight of 5500 to 6500. Normiflo was withdrawn from the US market in March 2000. Ardeparin binds to antithrombin III, accelerating its activity in inactivating factor Xa and thrombin, thereby inhibiting thrombosis. Ardeparin also binds to heparin cofactor II, inhibiting thrombin. Ardeparin does not effect prothrombin time (PT) assays and may prolong activated partial thromboplastin time (APTT). Ardeparin has double the anti-factor Xa activity versus anti-factor IIa activity, c"
228,Vilazodone,"Vilazodone is a novel compound with combined high affinity and selectivity for the 5-hydroxytryptamine (5-HT) transporter and 5-HT(1A) receptors[Label,A177622]. Vilazodone may also be associated with less sexual dysfunction and weight gain[A6947]. Vilazodone was given FDA approval on January 21, 2011[L6046,A177622]. Vilazodone selectively inhibits serotonin reuptake in the central nervous system as well as acting as a partial agonist of 5HT-1A receptors[Label,A38477]. The exact mechanism for how these effects translate to its antidepressant effects are not known[Label], though there is an association between these effects and antidepressive activity[A6947]."
229,Enoxaparin,"Enoxaparin is a common low-molecular-weight heparin (LMWH) used in the prevention and management of various thromboembolic disorders. Initially approved by the FDA in 1993, it is administered by a subcutaneous or intravenous injection and marketed by several pharmaceutical companies.[L31393] Enoxaparin markedly reduces the incidence of venous thromboembolism in hospitalized patients when compared to unfractionated [heparin], without increasing the risk of serious bleeding.[A228178,A228313] Enoxaparin binds to antithrombin III, a serine protease inhibitor, forming a complex that irreversibly inactivates factor Xa, which is frequently used to monitor anticoagulation in the clinical setting.[A228318] Following factor Xa inactivation, enoxaparin is released and binds to other anti-thrombin molecules. Factor IIa (thrombin) is directly inhibited by enoxaparin, however with less potency th"
230,Pioglitazone,"Pioglitazone is an antihyperglycemic used as an adjunct to diet, exercise, and other antidiabetic medications to manage type 2 diabetes mellitus.[L11416,L11419,L11422,L11425] It is administered as a racemic mixture, though there is no pharmacologic difference between the enantiomers and they appear to interconvert _in vivo_ with little consequence.[L11416] The thiazolidinedione class of medications, which also includes [rosiglitazone] and [troglitazone], exerts its pharmacological effect primarily by promoting insulin sensitivity and the improved uptake of blood glucose[L11416] via agonism at the peroxisome proliferator-activated receptor-gamma (PPARγ).[A19757] PPARs are ligand-activated transcription factors that are involved in the expression of more than 100 genes and affect numerous me Pioglitazone is a selective agonist at peroxisome proliferator-activated receptor-gamma (PPARγ) in target tissues for insulin action such as adipose tissue, skeletal muscle, and liver.[L11416,A19759] Activation of PPARγ increases the transcription of insulin-responsive genes involved in the control of glucose and lipid production, transport, and utilization.[A19759] Through this mechanism, pioglit"
231,Carfilzomib,"Carfilzomib is an injectable antineoplastic agent (IV only). Chemically, it is a modified tetrapeptidyl epoxide and an analog of epoxomicin. It is also a selective proteasome inhibitor. FDA approved carfilzomib in July 2012 for the treatment of adults with relapsed or refractory multiple myeloma as monotherapy or combination therapy.[L39392] Carfilzomib is made up of four modified peptides and acts as a proteasome inhibitor. Carfilzomib irreversibly and selectively binds to N-terminal threonine-containing active sites of the 20S proteasome, the proteolytic core particle within the 26S proteasome.  This 20S core has 3 catalytic active sites: the chymotrypsin, trypsin, and caspase-like sites. Inhibition of the chymotrypsin-like site by "
232,Ixabepilone,"Ixabepilone is an epothilone B analog developed by Bristol-Myers Squibb as a cancer drug. It was FDA approved on October 16, 2007, for the treatment of unresponsive aggressive metastatic or locally advanced breast cancer. Ixabepilone is administered through injection, and will be marketed under the trade name Ixempra. Ixabepilone is a semisynthetic analogue of epothilone B. It has a lactone–lactam modification that minimizes susceptibility to esterase degradation. Binding of Ixabepilone to beta-tubulins (e.g. beta-III tubulin) stabilizes microtubules. Microtubules are essential to cell division, and epothilones therefore stop cells from properly dividing. Like taxol, Ixabepilone binds to the αβ-tubulin heterodimer subunit. Once bound, the rate of αβ-tubulin dissociation decreases, thus stabilizing the microtubules."
233,Raltegravir,"Raltegravir is an antiretroviral drug produced by Merck & Co., used to treat HIV infection. It received approval by the U.S. Food and Drug Administration (FDA) on 12 October 2007, the first of a new class of HIV drugs, the integrase inhibitors, to receive such approval. Raltegravir inhibits HIV integrase to prevent the viral genome being incorporated into the human genome. Raltegravir is primarily metabolized by glucuronidation."
234,Granisetron,"A serotonin receptor (5HT-3 selective) antagonist that has been used as an antiemetic and antinauseant for cancer chemotherapy patients. Granisetron is a potent, selective antagonist of 5-HT<sub>3</sub> receptors. The antiemetic activity of the drug is brought about through the inhibition of 5-HT3 receptors present both centrally (medullary chemoreceptor zone) and peripherally (GI tract). This inhibition of 5-HT3 receptors in turn inhibits the visceral afferent stimulation of the vomiting center, likely indirectly at the level of t"
235,Salmeterol,"Salmeterol is a long-acting beta-2 adrenergic receptor agonist drug that is currently prescribed for the treatment of asthma and chronic obstructive pulmonary disease COPD.[L11545,L11548,L11551,L11554,L11557] It has a longer duration of action than the short-acting beta-2 adrenergic receptor agonist, [salbutamol].[A190459] Salmeterol was first described in the literature in 1988.[A190477] Salmeterol's structure is similar to salbutamol's with an aralkyloxy-alkyl substitution on the amine.[A183737]

Salmeterol was granted FDA approval on 4 February 1994.[L11542] Beta-2 adrenoceptor stimulation causes relaxation of bronchial smooth muscle, bronchodilation, and increased airflow.[A183737]

Salmeterol is hypothesized to bind to 2 sites on the beta-2 adrenoceptor.[A183737] The saligenin moiety binds to the active site of the beta-2 adrenoceptor.[A183737] The hydrophilic tail of salmeterol binds to leucine residues in the exo-site of the beta-2 adrenoceptor "
236,Gliclazide,"Gliclazide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It has been classified differently according to its drug properties in which based on its chemical structure, gliclazide is considered a first-generation sulfonylurea due to the structural presence of a sulfonamide group able to release a proton and the presence of one aromatic group.[A39546] On the other hand, based on the pharmacological efficacy, gliclazide is considered a second-generation sulfonylurea which presents a higher potency and a shorter half-life.[T238, T360] Gliclazide belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating &beta; cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and Gliclazide binds to the &beta; cell sulfonyl urea receptor (SUR1). This binding subsequently blocks the ATP sensitive potassium channels. The binding results in closure of the channels and leads to a resulting decrease in potassium efflux leads to depolarization of the &beta; cells. This opens voltage-dependent calcium channels in the &beta; cell resulting in calmodulin activation, which in turn l"
